,text
118,"No criticism or backlash will stop us from protecting people & paychecks in Georgia. 
@Varneyco
 : ""Gov. Kemp defied the naysayers & stood up for the freedom to make a living. He displayed political courage, a commodity in short supply these days."" #gapol"
119,"Happy 80th Birthday to my friend and former Georgia Governor, 
@NathanDeal
! #gapol"
120,".
@WSJ
: ""Remember when the national press corps portrayed Georgia Governor Brian Kemp as a villain for reopening the state's economy too soon? Well, more than a few states would like to be in the Peach State's pandemic and fiscal position now."" #gapol"
121,"@WSJ
: ""Remember when the national press corps portrayed Georgia Governor Brian Kemp as a villain for reopening the state's economy too soon? Well, more than a few states would like to be in the Peach State's pandemic and fiscal position now."" #gapol"
122,"ICYMI: Time to turn up the HEAT on human traffickers -> 
https://timesenterprise.com/opinion/editorials/time-to-turn-up-the-heat-on-human-traffickers/article_e63adb90-e49c-11ea-ae65-d325c424cb5d.html… #gapol"
123,"Great news for hardworking Georgians in every corner of our great state! We appreciate 
@realDonaldTrump
 and his team at 
@fema
  for helping to provide timely unemployment assistance to families enduring the economic hardship generated by COVID-19. #gapol"
124,"In Georgia, our testing capacity continues to exceed the demand. If you or a loved one were exposed to someone with COVID-19 or feel symptomatic, visit one of our 180+ sites throughout Georgia, including the ""Mega-testing"" site near  
@ATLairport
. #gapol"
125,"Congratulations to 
@realDonaldTrump
 and 
@Mike_Pence
. They are one step closer to #4MoreYears! #gapol"
126,Another reminder why we need to keep LEOs in our thoughts and prayers on a DAILY basis. Appreciate what these brave men and women do to keep us safe! #gapol
127,"Georgia's economic recovery has started, but the fight against COVID-19 must continue. By working together, we will protect the lives and livelihoods of all Georgians. With your help, we will build a safer, stronger, and more prosperous future for our great state."
128,"Through the 
@GBI_GA
 's Human Exploitation & Trafficking (HEAT) Unit, we will strengthen our fight to end human trafficking in GA. Rest assured, my Administration will not rest until this evil industry is destroyed & innocent Georgians are safe from harm."
129,"ICYMI: ""Biden can hide in his basement but he can't hide from his record."" #gapol"
130,"We are making measurable progress but the media and radical left continue to attack our state. They don't care about saving lives, protecting jobs, or safeguarding personal freedom. They just want to play pandemic politics. #gapol"
131,"In Georgia, our 7 day average of new COVID-19 cases is down 26%, our hospitalizations are down 19%, and the 7 day average of positive tests is down to 9.4%. Georgia's transmission rate is .85 and testing capacity remains high but underutilized. #gapol"
132,"Just like voters rejected Stacey Abrams in Georgia because she was too extreme, they will reject Joe Biden and Kamala Harris in November. #gapol"
133,"Senator 
@KLoeffler
 and First Lady Marty Kemp are working hard to rally the troops and Get Out The Vote in November! Always appreciate 
@StevePenleyArt
's passion, talent, and hospitality! #gapol"
134,"Our thoughts and prayers are with 
@realDonaldTrump
 and his family as they remember Robert Trump’s life and mourn his loss. May God’s peace “which passes all understanding” be with them during this difficult time. #gapol"
135,".
@MoodysInvSvc
: ""The stable outlook recognizes that Georgia's strong governance and fiscal management and high level of reserves will enable the state to sufficiently manage the economic downturn."" #gapol"
136,"As we battle COVID-19 and the economic hardship it created, our focus is clear: Protect lives, jobs, and personal freedoms. By working together, we will weather this storm and emerge stronger than ever. #gapol"
137,"To keep moving in the right direction, we are urging all Georgians to wear a mask, practice social distancing, wash their hands, and follow guidance from 
@GADPH
.

RT to spread the news! #gapol"
138,"We have experienced a 22% decrease in case numbers over the past two weeks relative to the two weeks prior while reporting an average of 31,000 tests a day.
 Our transmission rate remains low at .94."
139,"Georgia continues to make progress in our fight against COVID-19:
 Hospitalizations are down 7% over the last seven days and now sit at 2,691 - down 509 since August 1.
 Georgia's positivity rates are decreasing from 11.86% on 7/27 to 9.5% on 8/9/20."
140,"Last month, I filed a lawsuit to prevent business closures in Atlanta and my new Executive Order will protect property rights for all hardworking Georgians. This is a war on two fronts and we are fighting every day to protect lives and save jobs in Georgia. #gapol"
141,It’s hard enough for small business owners to make ends meet during this pandemic. It’s even harder when Mayors are threatening to close you down - or issue massive fines - if you don't play by their rules. #gapol
142,Analysts have confirmed that Georgia is making progress in the fight against COVID-19. This encouraging data is vital as local leaders decide how best to protect and educate students in schools throughout our state. #gapol
143,"""Georgia maintained a conservative approach to fiscal management by limiting spending growth & rebuilding the RSR balance, which Fitch views as strengthening its resilience as it now confronts budgetary challenges emerging from the coronavirus pandemic."" - 
@FitchRatings
 #gapol"
144,"""In our opinion, Georgia’s economy should be among the more resilient…absent any future outbreaks or pull-back in economic activity, the state should be relatively well positioned for future growth."" - 
@SPGlobalRatings
 #gapol"
145,"""The stable outlook recognizes that Georgia's strong governance & fiscal management & high level of reserves will enable the state to sufficiently manage the economic downturn."" - 
@MoodysInvSvc
 #gapol"
146,Great to hear that Deputy Justyn Weaver was released from the hospital after being shot in the line of duty. Our prayers are with him as he recovers! #gapol #BackTheBlue
147,"According to law enforcement officials, the seizure of 375 pounds of heroin last month in Atlanta is the largest bust in Georgia history. More importantly, agents believe this joint operation will cripple drug trafficking in the Southeast for years. #gapol"
148,"We are honored to welcome the largest meal kit service in America to Georgia. I’m confident that our state’s unmatched logistics network will serve 
@HelloFresh
 well as they invest in the Peach State & bring 750 jobs to the region. #gapol"
149," We have delivered millions of masks, hand sanitizer, foggers, & PPE to communities throughout GA so local superintendents & boards who decided to re-open schools can provide the resources & tools needed to keep teachers & students safe."
150," Our state’s Rt has dropped to .92 - the 6th lowest state in the country.  
 DCH surveyed 100% of skilled nursing facilities, working to protect the most vulnerable. 
 Georgia has dramatically ramped up testing with 20k tests more a day (since 7/1)."
151,"During the press conference, we also discussed:
 Georgia’s hospitalizations are down by 10% over the past 10 days with plenty of capacity at Piedmont & 
@GWCC_ATL
. 
 The curve has flattened on the number of new cases in Georgia and the positivity rate continues to fall."
